state,name,female_2010,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,mean_work_travel_2017,broadband_2017,computer_2017,homeownership_2010,persons_per_household_2017,metro_2013,fed_spending_2009,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,unemployment_rate_2016,avg_family_size_2019
Alabama,Autauga County,51.3,7.4,87.7,29.1,25,25.8,76.6,86.2,77.5,2.59,1,331142,13.7,17.2,20,5.11,3.09
Alabama,Baldwin County,51.1,5.1,90.2,31.6,30.7,27,74.5,86.9,76.7,2.63,1,1119082,11.8,19.4,15.9,5.35,3.24
Alabama,Barbour County,46.9,7.2,73.1,25.5,12,23.4,57.2,73.4,68,2.54,0,240308,27.2,56.8,44.9,8.36,3.01
Alabama,Bibb County,46.3,7.6,82.1,25,13.2,30,62,74.8,82.9,2.97,1,163201,15.2,21.6,25.9,6.47,3.74
Alabama,Blount County,50.5,5.6,79.8,34.4,13.1,35,65.8,78.2,82,2.76,1,294114,15.6,29.5,25.3,5.4,3.33
Alabama,Bullock County,45.8,3.5,71.4,21.3,13.4,29.8,49.4,64.2,76.9,2.74,0,108846,28.5,59.7,50.2,6.86,3.3
Alabama,Butler County,53,4.8,81.1,24.5,16.1,23.2,58.2,68.3,69,2.81,0,195055,24.4,30.1,34.8,6.93,3.78
Alabama,Calhoun County,51.8,5.2,83.2,33.2,17.9,24.8,71,82.9,70.7,2.49,1,1830659,18.6,31.1,26.3,6.55,3.03
Alabama,Chambers County,52.2,4.3,80.9,29.1,13.3,23.6,62.8,72.7,71.4,2.44,0,294718,18.8,31.9,28.9,5.47,3.1
Alabama,Cherokee County,50.4,3.8,79.5,28.9,12.5,26.5,67.5,79.4,77.5,2.37,0,184642,16.1,12.8,20.1,5.07,2.94
Alabama,Chilton County,50.5,7.1,81.8,23.3,15.1,32.5,56.6,73.8,75.1,2.59,1,276001,19.4,30.9,27.6,5.5,3.06
Alabama,Choctaw County,51.7,4.6,80.1,28.6,11.6,32.7,52.3,70.4,85.6,2.38,0,147465,22.3,25.5,32.8,8.53,3.07
Alabama,Clarke County,52.7,2,81.5,24.2,13,23.9,47.3,58.7,80,2.53,0,252684,25.3,35.1,30.3,10.89,3.46
Alabama,Clay County,51,4.3,73.3,29.3,10.3,30.3,66,77.1,72.8,2.46,0,125147,19.1,33.6,23.2,5.96,3.04
Alabama,Cleburne County,50.2,4.2,75.8,26.1,12.4,33.2,57.8,73.9,74.9,2.56,0,102409,19.1,32.8,30.2,6,3.21
Alabama,Coffee County,50.6,4.1,85.4,33.3,22.7,21.7,75.3,84.1,69.7,2.57,0,1015477,16.1,31.5,26,5.88,3.12
Alabama,Colbert County,51.9,4.3,83.9,31.4,18.8,23.1,65.9,80.3,73.5,2.46,1,527282,16.8,30.5,24,6.96,3.06
Alabama,Conecuh County,51.5,4.3,79,22.3,8.8,29.6,40.7,51.5,81.6,2.67,0,146576,26.4,47.5,39.2,8.44,3.41
Alabama,Coosa County,50.4,5.7,76.8,27.3,11,29.8,58.2,69.9,83.7,2.51,0,90463,14.4,10.3,17.9,5.98,3.26
Alabama,Covington County,51.6,6.1,82,31,15.5,25.2,64.7,74.1,74,2.41,0,357327,17.6,21.9,24.6,6.77,3
Alabama,Crenshaw County,51.7,7.6,79.3,25.3,16.3,28.6,57.1,70.5,67.8,2.56,0,134197,17.6,28.5,21.5,5.88,3.45
Alabama,Cullman County,50.6,3.2,82.1,31.4,14.9,26.5,65.2,78.9,74.7,2.59,0,624001,16.4,22.5,19.4,4.98,3.18
Alabama,Dale County,50.6,5.7,86,36.6,16.8,20.7,69.8,81.3,61.2,2.56,0,1295209,19.6,33.6,27.1,5.8,3.14
Alabama,Dallas County,53.8,8.2,81.3,30.5,14.2,22.1,57.7,69.2,62.6,2.44,0,611206,31.9,53.8,49.1,9.24,3.06
Alabama,DeKalb County,50.6,6.1,73.6,26.6,13,23.2,61,75.3,77.5,2.76,0,447088,21.5,31.8,30.9,6.08,3.26
Alabama,Elmore County,51.2,5.7,86.4,29.4,22.8,28,78.2,86.7,77.6,2.62,1,507314,13.5,26.6,20,4.77,3.09
Alabama,Escambia County,48.4,7.9,81,25,12.1,22.6,54.9,63.4,73.5,2.63,0,299086,23.8,30.6,33.2,6.66,3.47
Alabama,Etowah County,51.5,4.1,83.1,33.7,16.9,24,68.4,80.7,73,2.61,1,966534,17.9,31.7,28.5,5.92,3.23
Alabama,Fayette County,50.7,5,79.6,27.1,14.6,27.9,64.1,73.8,76,2.35,0,140438,18.1,37.5,24.7,6.75,2.85
Alabama,Franklin County,50.1,3,76.4,25.5,13.4,28.4,60.3,74.2,69.2,2.71,0,305125,23,53,41.5,5.89,3.44
Alabama,Geneva County,51.1,5,79,32.2,11.1,27.2,64.3,79,71.6,2.46,1,250317,22.5,30.2,37.5,5.79,3.11
Alabama,Greene County,52.8,7.6,76.6,28.2,11.4,29.7,42,55.8,71.1,2.8,0,117112,38.8,69.3,67.8,9.96,4.34
Alabama,Hale County,52.6,8.9,81.1,23.9,14.4,29.9,50.7,64.3,74.3,2.61,1,177021,26.1,47.2,37.7,7.67,3.36
Alabama,Henry County,52,5.8,80.6,29.6,17.1,25.6,68.3,77.9,81.9,2.5,1,152058,13.7,14.7,16.8,6.53,3.13
Alabama,Houston County,52,5.8,85.3,32.6,20.9,21.3,67.6,78.2,67.4,2.61,1,749924,18.5,36.4,29.4,5.8,3.3
Alabama,Jackson County,50.9,5.5,81.4,27.3,13.4,25.7,62.7,75,76.6,2.54,0,664456,19,23,27.4,6.32,3.02
Alabama,Jefferson County,52.6,5.5,89.4,30.7,31.9,23.8,73,84.4,66.8,2.46,1,6996508,17.6,29.5,25.5,5.75,3.15
Alabama,Lamar County,51.3,5.6,79.5,28.7,13.3,28.1,58.3,73.3,75.1,2.3,0,145136,23.1,61,36.9,5.64,2.96
Alabama,Lauderdale County,52.1,4.3,85.9,28.1,22.5,24.1,65.4,78.8,73,2.34,1,751511,16.3,25.1,21.5,6.38,2.91
Alabama,Lawrence County,51.1,5.1,78,27,10.2,28,55.7,74.6,78.7,2.53,1,228456,16.6,16.2,18.8,6.92,3.11
Alabama,Lee County,50.7,4.6,89.9,30.5,34.9,22.2,78.2,88.3,64.2,2.55,1,772183,22,26.9,23.6,5.24,3.2
Alabama,Limestone County,49.4,6.3,83.7,28.5,24.6,25.7,72.5,82.8,77.1,2.74,1,515413,14.8,21.7,19.5,5.26,3.47
Alabama,Lowndes County,53.2,5.9,76,26.2,13.7,30.3,47.1,64.1,75.4,2.38,1,114440,30.2,44.3,48.1,10.58,2.94
Alabama,Macon County,54.2,2.7,81.6,29.2,20.1,22.5,52.2,70.5,68,2.17,0,319158,25.9,52.4,39,7.63,2.88
Alabama,Madison County,50.9,5.2,90.8,29.2,40.6,21.3,81.3,89.5,70.4,2.42,1,9978211,13.6,27,19.7,5.14,2.99
Alabama,Marengo County,52.9,3.2,83.2,28.1,15.4,25.5,51.2,66.9,73.5,2.45,0,212401,25.6,43.9,36.5,7.16,3.88
Alabama,Marion County,50.3,2.8,80.7,31.9,13.4,23.2,65.8,76.2,75.8,2.37,0,266705,17.6,29.7,23.5,6.64,3.06
Alabama,Marshall County,50.7,5.4,80,30.9,17.7,23.9,70.2,79.8,72.5,2.71,0,714306,21,38.5,33.8,5.34,3.3
Alabama,Mobile County,52,5.7,86.3,30.6,23,24.8,69.4,80,68.4,2.63,1,4379855,19.3,34.3,29.1,6.64,3.31
Alabama,Monroe County,51.8,4.6,83,23.8,12.5,24.7,38.9,49.8,73.8,2.62,0,200300,33.7,54.3,43.5,9.08,3.42
Alabama,Montgomery County,52.4,5.2,85.7,27.9,32.3,20.3,75.6,84.4,63.2,2.45,1,5085747,20.8,37.3,31.9,5.68,3.16
Alabama,Morgan County,50.7,4.8,82.5,31.8,20.9,24.1,70.1,82.8,73.1,2.55,1,819697,16.6,27.7,24.3,5.54,3.14
Alabama,Perry County,53,1.9,80,21.2,16.9,26.1,39.8,54.5,67.8,2.92,0,130849,41.9,65.4,60.8,10.33,4.52
Alabama,Pickens County,52.3,5.2,79.8,30.3,11.8,29.5,60.9,71,74.1,2.48,1,214959,22.9,36.6,34.8,6.88,3.02
Alabama,Pike County,52.3,8.3,81.1,23.3,24.7,20.4,60.2,71.7,56.3,2.55,0,303446,26.3,41.3,34.1,6.51,3.68
Alabama,Randolph County,51.5,5.6,78.6,27.3,14.6,26.3,64.8,76.8,75.9,2.49,0,188182,18.7,40,29.6,5.59,3.19
Alabama,Russell County,52.2,5.7,82.9,33.7,16.9,24.1,63,80.2,62.3,2.55,1,449151,20.9,29.3,28.7,5.56,3.1
Alabama,St. Clair County,49.9,5,84.2,32,16,29.7,72.3,84.8,82.2,2.61,1,479715,13.7,15,16.9,5.2,3.17
Alabama,Shelby County,51,4.7,92.1,28.9,42.2,28,84.5,92.4,80.6,2.68,1,1041343,8.3,10,9.9,4.31,3.18
Alabama,Sumter County,54.5,3.4,82.7,24.7,18.2,26.1,50.4,64.8,68.3,2.41,0,187467,36,49.6,47.4,7.71,3.21
Alabama,Talladega County,51.3,4.4,80.5,31.8,13.6,24.8,65.5,78.5,73,2.45,0,715605,19.3,31.4,28.7,6.61,3.02
Alabama,Tallapoosa County,51.5,5,80.8,28.6,18.2,25.2,67.9,77.3,73.3,2.45,0,359711,21.2,39.3,35.7,5.59,3.01
Alabama,Tuscaloosa County,51.5,5.5,88.2,28.5,30.2,22.3,75.7,84.2,63.3,2.72,1,1513973,17.3,23.4,21.3,5.66,3.32
Alabama,Walker County,51.3,5,80,31.6,11.1,29.2,62.5,77,77.7,2.55,1,681873,21.5,41,31.2,7.45,3.04
Alabama,Washington County,50.8,3.2,82.4,27,10.7,35.2,53.5,74.4,83,2.77,0,137659,22,56.5,34,8.64,3.37
Alabama,Wilcox County,52.7,2,79.1,23.9,12,25,41.6,60.4,76.8,2.77,0,159172,31.9,46.4,41.7,14.44,3.67
Alabama,Winston County,50.9,2.3,77.2,28.1,12.9,27.8,56.2,72.5,73.8,2.5,0,214085,18.7,27.2,28,7.1,3.04
Alaska,Aleutians East Borough,33.4,2.9,85.8,32.7,11.5,5.1,68.2,85.3,59.2,2.53,0,13979,16.7,28.7,19.1,2.7,3.23
Alaska,Aleutians West Census Area,33.1,5.2,88.3,33,16.2,7.8,74.1,91.8,36.3,3.57,0,57275,7.5,13.4,8.4,3.34,4.56
Alaska,Anchorage Municipality,49.2,5.8,93.4,35,34.6,18.9,87.4,94.6,61.7,2.74,1,4358145,8.1,9.8,11.1,5.56,3.27
Alaska,Bethel Census Area,47.7,7.8,80.2,22.9,12.6,7.4,70.6,82,61.3,3.81,0,340871,27,34.3,32.7,14.34,4.35
Alaska,Bristol Bay Borough,45.8,6.1,92.6,37.4,20.3,9.4,81.3,91.3,56.6,2.39,0,59364,7.1,17.4,10.3,7,3.07
Alaska,Denali Borough,45.1,1.5,98.7,25.7,44.5,16.1,89.7,95,60.7,2.31,0,78281,15.5,5.8,4.8,9.12,3.12
